User,Degree Centrality
u153,0.2732388899670095
u8,0.251309916553464
u150,0.246070250339608
u149,0.18300019406171164
u66,0.17717834271298272
p37,0.11046511627906977
u147,0.09625460896565108
p348358,0.09302325581395349
p1080,0.09302325581395349
p982,0.0872093023255814
p14,0.0872093023255814
p1162,0.08139534883720931
p116,0.0755813953488372
p1936172,0.0755813953488372
p2340,0.0755813953488372
p1240,0.0755813953488372
p1008,0.0755813953488372
p1485,0.0755813953488372
p2349,0.06976744186046512
p584,0.06976744186046512
p414284,0.06976744186046512
p583,0.06976744186046512
p983,0.06395348837209303
p32,0.06395348837209303
p2344,0.06395348837209303
p894,0.06395348837209303
p1023,0.06395348837209303
p95,0.06395348837209303
p1014,0.06395348837209303
p2582,0.06395348837209303
p112,0.05813953488372093
p2294,0.05813953488372093
p1677,0.05813953488372093
p2413,0.05813953488372093
p1277,0.05813953488372093
p985,0.05813953488372093
p1253,0.05813953488372093
p1242,0.05813953488372093
p1226,0.05813953488372093
p9,0.05813953488372093
p1356,0.05813953488372093
p969,0.05813953488372093
p1026,0.05813953488372093
p905,0.05813953488372093
p97,0.05813953488372093
p1031,0.05813953488372093
u358,0.057830390064040366
p2430,0.05232558139534883
p904,0.05232558139534883
p1280,0.05232558139534883
p898,0.05232558139534883
p161,0.05232558139534883
p1312,0.05232558139534883
p69,0.05232558139534883
p955,0.05232558139534883
p1251,0.05232558139534883
p101,0.05232558139534883
p892,0.05232558139534883
p56,0.05232558139534883
p23,0.05232558139534883
p2270,0.05232558139534883
p1021,0.05232558139534883
p2712,0.05232558139534883
p2699,0.05232558139534883
p1190,0.05232558139534883
p984,0.05232558139534883
p1450,0.05232558139534883
p17,0.05232558139534883
p2346,0.05232558139534883
p1402,0.05232558139534883
p1860,0.05232558139534883
p1306,0.05232558139534883
p2504,0.05232558139534883
p1208,0.05232558139534883
p932,0.05232558139534883
p986,0.05232558139534883
p849,0.05232558139534883
p860,0.05232558139534883
p2480,0.05232558139534883
p2953,0.05232558139534883
p136,0.05232558139534883
p578,0.05232558139534883
p572,0.05232558139534883
u242,0.051232291868814284
u136,0.04715699592470406
p2062,0.046511627906976744
p120,0.046511627906976744
p1175,0.046511627906976744
p171,0.046511627906976744
p933,0.046511627906976744
p3038,0.046511627906976744
p1022,0.046511627906976744
p1076,0.046511627906976744
p1315,0.046511627906976744
p68,0.046511627906976744
p3414,0.046511627906976744
p2958,0.046511627906976744
p3309,0.046511627906976744
p2337,0.046511627906976744
p1196,0.046511627906976744
p82,0.046511627906976744
p2960,0.046511627906976744
p2584,0.046511627906976744
p1362,0.046511627906976744
p2063,0.046511627906976744
p258,0.046511627906976744
p3028,0.046511627906976744
p1207,0.046511627906976744
p2954,0.046511627906976744
p22,0.046511627906976744
p2213,0.046511627906976744
p1419,0.046511627906976744
p1534,0.046511627906976744
p1373,0.046511627906976744
p86,0.046511627906976744
p2592,0.046511627906976744
p365569,0.046511627906976744
p908,0.046511627906976744
p1679,0.046511627906976744
p1087,0.046511627906976744
p2479,0.046511627906976744
p2338,0.046511627906976744
p891,0.046511627906976744
u152,0.045604502231709684
p1458,0.040697674418604654
p1539,0.040697674418604654
p100,0.040697674418604654
p1409,0.040697674418604654
p1058,0.040697674418604654
p3033,0.040697674418604654
p3765,0.040697674418604654
p15,0.040697674418604654
p1403,0.040697674418604654
p2059,0.040697674418604654
p1757,0.040697674418604654
p99,0.040697674418604654
p2494,0.040697674418604654
p913,0.040697674418604654
p2586,0.040697674418604654
p41,0.040697674418604654
p1400,0.040697674418604654
p1866,0.040697674418604654
p85,0.040697674418604654
p2104,0.040697674418604654
p965,0.040697674418604654
p1414,0.040697674418604654
p1758,0.040697674418604654
p555,0.040697674418604654
p1692,0.040697674418604654
p1376,0.040697674418604654
p3145,0.040697674418604654
p3814,0.040697674418604654
p2347,0.040697674418604654
p2259,0.040697674418604654
p253,0.040697674418604654
p1594,0.040697674418604654
p2981,0.040697674418604654
p88,0.040697674418604654
p906,0.040697674418604654
p1906,0.040697674418604654
p1223,0.040697674418604654
p1067,0.040697674418604654
p102,0.040697674418604654
p1235,0.040697674418604654
p2961,0.040697674418604654
p1305,0.040697674418604654
p168,0.040697674418604654
p87,0.040697674418604654
p1564,0.040697674418604654
p2877,0.040697674418604654
p34,0.040697674418604654
