User,Closeness Centrality
p5484,1.9676934635612322
p4713,1.9676934635612322
p344059,1.9676934635612322
p1038,1.9676934635612322
p336234,1.9676934635612322
p2056,1.9676934635612322
p4922,1.9676934635612322
p5586,1.9676934635612322
p4925,1.9676934635612322
p1150,1.9676934635612322
p5541,1.9676934635612322
p877,1.9676934635612322
p5094,1.9676934635612322
p372704,1.9676934635612322
p1229551,1.9676934635612322
p4995,1.9676934635612322
p4107,1.9676934635612322
p314504,1.9676934635612322
p1053,1.9676934635612322
p495123,1.967693463561232
p2282,1.3117956423741548
p888,1.3117956423741548
p4813,1.3117956423741548
p2489,1.3117956423741548
p395031,1.1806160781367392
p639592,1.1806160781367392
p1113393,1.1806160781367392
u9971,1.0321187077385425
u6643,1.0321187077385425
u21469,1.0321187077385425
u4558,1.0321187077385425
u6640,1.0321187077385425
u6774,1.0321187077385425
u3818,1.0321187077385425
u5199,1.0321187077385425
u2661,1.0321187077385425
u6999,1.0321187077385425
u13844,1.0321187077385425
u2997,1.0321187077385425
u3007,1.0321187077385425
u3564,1.0321187077385425
u6710,1.0321187077385425
u6366,1.0321187077385425
u1083,1.0321187077385425
u22476,1.0321187077385425
u6546,1.0321187077385425
u49,1.0321187077385425
u2631,1.0321187077385425
u628,1.0321187077385425
p3414,0.8237655792817292
p1087,0.798651161744154
p1023,0.7961992432185752
p1080,0.7929129358629379
p3309,0.7821518464823054
p1253,0.7795656376264234
p849,0.7789802462938211
p2344,0.7768800973485221
p2957,0.7749069948378887
p2582,0.773866463252131
p425,0.7724834269040745
p56,0.7707615677163843
p258,0.7684776605596575
p254,0.7660940801931037
p14,0.7646259261365679
p1235,0.7623781832802834
p97,0.761594592166127
p3107,0.761594592166127
p101,0.7596982746169767
p171,0.7590312387425782
p2958,0.7584762696420865
p2960,0.7575900051044195
p852,0.7571476490690326
p2953,0.7569266647132299
p1021,0.7563747677648426
p913,0.755163422864877
p2404,0.7542848789278569
p4674,0.7542848789278569
p981,0.7524247435914133
p2584,0.7515525566829542
p348358,0.7514436754722794
p253,0.7514436754722794
p904,0.7500310852356891
p275,0.7500310852356891
p2615,0.7500310852356891
p1022,0.7499226443934661
p215,0.7489480860511744
p2420,0.7485157615913713
p802,0.7484077584513972
p1817,0.7471141476337642
p1810,0.7471141476337642
p739,0.7471141476337642
p1876,0.7471141476337642
p800,0.7471141476337642
p1034,0.7470065485630314
p3431,0.7465764620291339
p2765,0.7461468704520475
p3024,0.7455034092630124
p3817,0.7452891687545669
p3819,0.7452891687545669
p2659,0.7452891687545669
p2419,0.7437929260697509
p3366,0.7434730839170656
p2880,0.742834224124226
p3821,0.742834224124226
p3174,0.742834224124226
p891,0.7418779904094126
p584,0.7400784718480999
p9,0.7370287701523849
p1936172,0.7367147176972385
p572,0.7320358436168807
p1485,0.7304893979223165
p2063,0.7282330600136762
p1442,0.7246720181554185
p860,0.7244695816673523
p914,0.7240650478044822
p1223,0.7237619437587955
p558,0.7237619437587955
p1067,0.7232573338837632
p37,0.7224514200079961
p1757,0.7224514200079961
p1906,0.7212459111377888
p1190,0.7199444749736149
p1356,0.7197446707760228
p1843,0.7193453949029066
p2319,0.7185481706652916
p82,0.7184486418654212
p1848,0.7182496669594141
p1811,0.7174548682408753
p1014,0.7166618265903154
p1879,0.7163648877767292
p1822,0.7159693519148882
p635,0.7159693519148882
p339326,0.715080991238355
p2847,0.7132127837672613
p1008,0.7127227715489396
p1842,0.7119401509776142
p3145,0.7116471111953637
p2400,0.7114518853230105
p257,0.7108668498523139
p3108,0.7107694374713818
p4554,0.7107694374713818
p216,0.7088267809972543
p593,0.7088267809972543
p2412,0.7088267809972543
p1847,0.7076662760007378
p1850,0.7076662760007378
p1594,0.706702087328484
p901,0.7064133428597082
p1813,0.705644509890131
p1818,0.705644509890131
p496,0.7051648385490324
p414,0.7051648385490324
p1348,0.7049731525582614
p2658,0.7049731525582614
p1026,0.7045900930445437
p1403,0.7039207396277951
p270,0.7036342630329523
p2446,0.703252656761902
p1815,0.7031573198600161
p34,0.7028714641842142
p1816,0.702110317420969
p442,0.701540538303565
p1878,0.701540538303565
p2469,0.701540538303565
p2822,0.7013508173818415
p2823,0.7013508173818415
p2838,0.7013508173818415
p2836,0.7013508173818415
p2857,0.7013508173818415
p2632,0.7013508173818415
p2634,0.7013508173818415
p3856,0.7013508173818415
p2646,0.7013508173818415
p409,0.7012559953961209
p256,0.701161199046625
p204,0.7009716832147318
p2005,0.7007822698030681
p1820,0.7007822698030681
p1877,0.7007822698030681
p3551,0.7007822698030681
p498,0.7007822698030681
p220,0.7007822698030681
p252,0.7007822698030681
p4869,0.7007822698030681
p3345,0.7007822698030681
p1812,0.7007822698030681
p318,0.7007822698030681
p404,0.7007822698030681
p4052,0.7007822698030681
p2832,0.7006876014788799
p1401,0.7001201282239871
p2665,0.6987995917746592
p3331,0.6987995917746592
p3316,0.6987995917746592
p2881,0.6987995917746592
p2882,0.6987995917746592
p2827,0.6987995917746592
p3196,0.6984232101188189
p4545,0.6984232101188189
p3266,0.6984232101188189
p2586,0.6983291780474464
p102,0.6982351712926443
p932,0.6975778320149834
p4520,0.6972027649636949
p3041,0.6972027649636949
p933,0.6970153826442798
p3765,0.6968281010206769
p1373,0.6961734071468235
p2618,0.6958932005027716
p99,0.6956132193317788
p3218,0.695240261369534
p5400,0.6951470843593658
p4628,0.6951470843593658
p5401,0.6951470843593658
p890,0.6951470843593658
p4910,0.694960805245181
p4885,0.6947746259389737
p3170,0.6947746259389737
p2728,0.6947746259389737
p1911,0.6947746259389737
p4514,0.6947746259389737
p4908,0.6947746259389737
p3201,0.6947746259389737
p2398,0.6942166860667079
p5402,0.6940309051913304
p2396,0.6940309051913304
p2606,0.6940309051913304
p2384,0.6940309051913304
p3975,0.6940309051913304
p3219,0.6940309051913304
p4149,0.6940309051913304
p2480,0.6933814544412016
p1305,0.6927332180230261
p2552,0.6923633411129158
