node_id,degree
u25,353
u19,211
u102,204
u106,202
u134,195
u79,192
u193,183
u298,183
u198,181
u240,178
u83,174
u91,172
u210,166
u80,163
u333,163
u73,163
u108,162
u200,162
u197,161
u77,161
u99,161
u229,161
u203,160
u88,160
u176,160
u207,159
u239,159
u104,159
u177,159
u251,158
u18,158
u476,158
u132,157
u195,157
u126,157
u236,156
u208,156
u408,156
u326,156
u238,156
u232,156
u436,156
u8,156
u30,155
u20,155
u447,155
u214,155
u97,154
u395,154
u502,154
u127,154
u186,154
u679,154
u121,154
u334,154
u309,153
u72,153
u129,153
u1075,153
u415,153
u243,152
u204,152
u314,152
u209,152
u14,152
u185,151
u393,151
u530,151
u1382,151
u109,151
u159,151
u205,151
u293,151
u1432,150
u576,150
u60,150
u475,150
u237,150
u321,150
u265,149
u433,149
u528,149
u192,149
u473,149
u332,149
u330,148
u856,148
u16,148
u116,148
u844,148
u115,147
u495,147
u295,147
u1498,146
u918,146
u840,145
u727,144
u629,144
u438,144
u1420,144
u847,143
u201,143
u471,142
u1396,142
u1455,142
u1463,141
u425,141
u666,141
u1248,139
u2440,138
u1479,137
u1519,137
u873,137
u273,137
u563,136
u1311,136
u845,134
u923,134
u943,132
u2281,132
u854,132
u281,132
u1461,132
u800,131
u2209,131
u817,130
u676,129
u1092,129
u117,127
u2211,126
u12,125
u1494,124
u397,123
u822,120
u1866,120
u1796,120
u1824,119
u4944,116
u1586,113
u8907,112
u1328,110
u1352,106
u15437,100
u3988,99
u2213,98
u9304,97
u8772,91
u2899,82
u3581,81
u9016,76
u4508,66
u7581,62
u11194,54
u4269,51
u6720,48
u9343,42
u11989,32
u9895,28
u13023,20
u12221,19
u14469,18
u12425,18
u15257,17
u16567,12
u7825,11
u11382,11
u24381,9
u16491,8
u25627,3
u24496,2
u25527,1
u27242,1
u28785,1
u25975,1
u26689,1
u22567,1
u21121,1
u19882,1
u25678,1
u28648,1
u28090,1
u25303,1
u20877,1
u25799,1
u26150,1
u28091,1
u28992,1
u29333,1
u24740,1
u25571,1
u19942,1
u22949,1
u28338,1
u26473,1
u23915,1
u25154,1
u25496,1
u26583,1
u24571,1
u28516,1
u24526,1
u28712,1
u27460,1
u25298,1
u21676,1
u26683,1
u20619,1
u25684,1
u22217,1
u18210,1
u26449,1
u26036,1
u15760,1
u27426,1
u27636,1
u28588,1
u18971,1
u21255,1
u23907,1
u23707,1
u27517,1
u27643,1
u29026,1
u17656,1
u25339,1
u23696,1
u19419,1
u23046,1
u27908,1
u9027,1
u28035,1
u25984,1
u25338,1
u23329,1
u26957,1
u23740,1
u28162,1
u27231,1
u23314,1
u27128,1
u27155,1
u24618,1
u26930,1
u26560,1
u27923,1
u14647,1
u28763,1
u23429,1
u28173,1
u29247,1
u27245,1
u28348,1
u24340,1
u25569,1
u22931,1
u27799,1
u14017,1
u27853,1
u23224,1
u28534,1
u23925,1
u28209,1
u10267,1
u26096,1
u23545,1
u26705,1
u16490,1
u25960,1
u28352,1
u28764,1
u29060,1
u21532,1
u23591,1
u27948,1
u27484,1
u15778,1
u20418,1
u23249,1
u26875,1
u28480,1
u26708,1
u24646,1
u22242,1
u26698,1
u28831,1
u26827,1
u26863,1
u27081,1
u27832,1
u28351,1
u23502,1
u23653,1
u25798,1
u17121,1
u25739,1
u25022,1
u26235,1
u26153,1
u27332,1
u22199,1
u24656,1
u26489,1
u25493,1
u26376,1
u24111,1
u29113,1
u28781,1
u23836,1
u19029,1
u25735,1
u28598,1
u27940,1
u25825,1
u19485,1
u21658,1
u21602,1
u21887,1
u28828,1
u21607,1
u17950,1
u23688,1
u25573,1
u27133,1
u26601,1
u25878,1
u14693,1
u23091,1
u29015,1
