Node,Degree
u198,1345401
u193,522920
u1605,492669
u845,474892
u108,461269
u232,267652
u203,215630
u25,213606
u680,212182
u408,161481
u1681,142364
u724,121873
u196,110551
u1405,104088
u83,103538
u79,101433
u19,99921
u1519,82086
u197,79274
u104,73534
