Node,Hub Score
u27675,7.560976192890153e-08
u16073,3.6716480843079735e-09
u2475,6.103608591084372e-06
u26659,2.085704382669012e-08
u17705,1.3803329731522972e-139
u4959,1.6950562230858987e-07
u5038,1.6950562230858987e-07
u9171,9.316633272290046e-07
u29142,1.3803329731522972e-139
u5887,3.0146628206080446e-06
u17414,3.619590777275336e-07
u27410,1.173038840929049e-07
u22374,4.3938665485170206e-07
u24709,2.2974504107962873e-07
u25672,2.4202305234290957e-09
u2469,1.439483998857819e-05
u24412,8.916842426186799e-08
u18015,2.6133186649158485e-07
u8822,4.99839783985853e-07
u11247,1.439055221355005e-06
u122,0.001156879746496653
u17507,5.669577762015223e-07
u4292,2.3651413897662448e-06
u13260,4.2469477240741324e-07
u21615,2.895328654389498e-07
u595,0.0027859695088280375
u20668,1.3803329731522972e-139
u28441,1.7919792945608353e-08
u25483,2.7433673083391214e-09
u4205,6.574366565621463e-06
u17818,2.828435886074445e-07
u6442,4.909226245331064e-07
u16019,3.609428662661741e-07
u9478,6.269573792627509e-07
u3842,3.6821153455556434e-06
u28276,1.3803329731522972e-139
u20067,1.3803329731522972e-139
u8426,4.382932676519057e-06
u9427,3.9693100397787564e-07
u21699,3.3834766808629615e-08
u18522,1.0807087322872765e-07
u28534,6.7866511288566385e-09
u5638,5.724620538920515e-07
u27630,9.034217737835584e-09
u28847,1.1119876637322712e-08
u5501,3.7275343812873196e-05
u8121,3.4535345714722687e-07
u8799,5.837661020010597e-07
u17324,2.486863274874522e-07
u3804,3.587630411443642e-07
u10424,1.2794212862579422e-06
u24115,4.139247913624518e-08
u24368,1.3803329731522972e-139
u8096,2.384179921295485e-06
u16393,3.9328479392206774e-07
u1873,5.693691908700223e-05
u18700,7.07312794157059e-07
u641,1.266252768798247e-05
u8131,7.867618358057985e-07
u9849,5.26485144231672e-07
u13223,7.027688572997795e-07
u3829,6.513120342730058e-07
u1453,1.7852618593036792e-07
u29267,5.006836355055181e-09
u10707,2.492997693735306e-06
u18884,2.022777069201117e-07
u27778,2.26681926215177e-07
u2001,4.0609316023346614e-07
u6560,5.028052737628122e-07
u13526,3.801186424121666e-07
u24422,8.916842426186799e-08
u24372,1.3803329731522972e-139
u2914,5.188907745485545e-07
u17107,4.214249329127946e-08
u1238,1.969671180964245e-06
u14155,3.981782599619632e-07
u16660,5.78178842093482e-07
u22765,1.9959341130654013e-07
u16639,1.6130190275993583e-06
u16047,3.747747193832908e-07
u25262,6.576277948688279e-07
u11371,9.643234714474781e-08
u1941,1.4040475112299332e-05
u9271,9.626003517292236e-07
u17612,3.156035409977094e-07
u28358,1.6283609441829421e-09
u14053,4.015733974914203e-07
u20730,3.037980314329158e-07
u7093,5.3927074091022e-07
u14552,1.1810546561090877e-06
u7617,5.813963016306743e-07
u28020,1.3803329731522972e-139
u15574,8.167220594928712e-07
u21208,1.3803329731522972e-139
u17032,2.5657621607720025e-07
u3628,7.811482321809983e-07
u18721,2.189981431403148e-07
u13849,9.213354314485598e-07
u8755,7.722229757197652e-07
u8792,2.0947208318482627e-06
u27663,1.3467022090430294e-07
u21338,3.6452700476124374e-07
u28488,1.3803329731522972e-139
u21671,1.1312630469894781e-07
u24013,4.3986570109976804e-07
u18776,2.189981431403148e-07
u8210,3.437400013622264e-07
u18333,2.28351094792022e-07
u80,0.003102065353859836
u1173,3.070659460713456e-05
u16297,3.5155654271583385e-07
u5683,4.014393671260269e-06
u19196,1.4378109228053437e-07
u8989,6.86670405915574e-08
u13234,7.50754123105998e-07
u22799,1.3803329731522972e-139
u20464,5.2541729873631044e-08
u12778,7.7631110298854e-07
u15131,1.2029703269584696e-07
u13381,3.3775086951332075e-08
u14875,1.777817348363378e-07
u16815,3.380874705141241e-07
u1178,0.0002462608101714558
u25507,9.695952029090371e-09
u4495,1.960468964973859e-06
u7451,1.4297209068656925e-06
u11043,1.5369688977937119e-07
u4862,1.6950562230858987e-07
u4710,1.6950562230858987e-07
u289,0.0006369967183531731
u21924,9.44615304505713e-09
u5765,4.415431602312952e-06
u9330,1.1862405492068118e-06
u7727,2.920896410120775e-06
u22346,2.3940185523938365e-08
u12622,4.1731791463021457e-07
u17628,1.8410317996208197e-07
u17873,2.2954571431437176e-07
u6191,6.760369160291748e-06
u18013,3.5181361138050535e-07
u24870,1.2067638491574924e-08
u16254,1.598610737823024e-07
u13788,6.016986489470891e-07
u15543,4.68595049813629e-07
u29028,1.3803329731522972e-139
u21965,4.423463108933775e-08
u27477,4.599405081578709e-09
u16490,3.047770256719057e-13
u27157,9.056515933438368e-08
u19236,1.3803329731522972e-139
u25719,1.3803329731522972e-139
u14379,6.694812949145598e-07
u696,1.746950309773406e-06
u12238,4.3528540149502466e-07
u14834,7.205846378324232e-07
u2276,3.4485835082411703e-07
u26893,8.98740277933143e-08
u15658,5.616038896877284e-07
u17265,4.2428857722044993e-07
u27111,1.3803329731522972e-139
u7381,7.476192655122539e-07
u3312,4.152892151811282e-07
u22268,6.000227639128322e-08
u22322,4.816255809606655e-08
u19042,1.3803329731522972e-139
u20365,2.287304763238234e-07
u22633,1.3803329731522972e-139
u12208,4.444765832221421e-07
u1113,0.00010290705891551775
u3585,3.308461323682405e-07
u25533,1.3803329731522972e-139
u26574,1.3803329731522972e-139
u5235,5.089756988180758e-07
u15960,4.019230262194189e-07
u5628,5.4151943991910465e-06
u19148,2.2797760939969708e-07
u16355,4.129981124429125e-07
u18004,3.6397049013143185e-07
u22832,1.3803329731522972e-139
u14077,1.0932469258986315e-06
u27018,2.804034628311145e-07
u12447,3.8269852337601274e-07
u8815,8.680519921375773e-07
u26088,2.7915798968183046e-08
u9470,6.60488832303912e-07
u11601,3.830650221546657e-08
u23077,1.442390422454549e-07
u21395,2.0721218722245632e-07
u7126,1.7595656559802e-07
u29116,5.5511844969781525e-09
u3208,3.672050256862661e-05
