Node,Clustering Coefficient
p840,1.0
p1046,1.0
p1154,1.0
p1279,1.0
p2121,1.0
p883,1.0
p1001,1.0
p1691,1.0
p1832,1.0
p1838,1.0
p1905,1.0
p2044,1.0
p2045,1.0
p2046,1.0
p2047,1.0
p2115,1.0
p2116,1.0
p2222,1.0
p1061,1.0
p373055,1.0
